"filename", "language", "PostCSS", "HTML", "MS SQL", "Java", "JSON", "comment", "blank", "total"
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\mapper\BidMapper.java", "Java", 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfDownloadController.java", "Java", 0, 0, 0, 30, 0, 0, 7, 37
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfGenerationService.java", "Java", 0, 0, 0, 180, 0, 0, 50, 230
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfHtmlPreviewController.java", "Java", 0, 0, 0, -20, 0, 0, -6, -26
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfModelBuilder.java", "Java", 0, 0, 0, 80, 0, 0, 21, 101
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfModelController.java", "Java", 0, 0, 0, -19, 0, 0, -6, -25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfPrintableRowPartitionService.java", "Java", 0, 0, 0, 264, 0, 0, 66, 330
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfProtectedBlockRenderService.java", "Java", 0, 0, 0, 128, 0, 0, 17, 145
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateController.java", "Java", 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateRenderService.java", "Java", 0, 0, 0, 101, 0, 5, 27, 133
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateSeeder.java", "Java", 0, 0, 0, -4, 0, 0, 1, -3
