Date : 2026-07-27 10:37:58
Directory : c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src
Total : 289 files,  60117 codes, 226 comments, 4791 blanks, all 65134 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\enums                                                                                                                               |         11 |         75 |          0 |         14 |         89 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\mapper                                                                                                                              |          1 |        224 |          0 |         59 |        283 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\pdf                                                                                                                                 |         26 |      2,491 |         41 |        605 |      3,137 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\pdf (Files)                                                                                                                         |         12 |      2,157 |          5 |        505 |      2,667 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\pdf\model                                                                                                                           |         14 |        334 |         36 |        100 |        470 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\repository                                                                                                                          |         15 |        336 |          0 |        126 |        462 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\seed                                                                                                                                |          1 |        258 |          7 |         79 |        344 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\service                                                                                                                             |          8 |      3,064 |         49 |        953 |      4,066 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\estimate\util                                                                                                                                |          1 |         58 |         23 |         20 |        101 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file                                                                                                                                         |          8 |        407 |          0 |        111 |        518 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file\controller                                                                                                                              |          2 |         98 |          0 |         24 |        122 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file\dto                                                                                                                                     |          2 |         28 |          0 |          8 |         36 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file\entity                                                                                                                                  |          1 |         27 |          0 |          9 |         36 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file\repository                                                                                                                              |          1 |         16 |          0 |          5 |         21 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\file\service                                                                                                                                 |          2 |        238 |          0 |         65 |        303 |
