"filename", "language", "MS SQL", "HTML", "Java", "comment", "blank", "total"
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\enums\ContactRole.java", "Java", 0, 0, 11, 0, 1, 12
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\enums\CustomerCategory.java", "Java", 0, 0, 6, 0, 1, 7
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\enums\ExternalEntityType.java", "Java", 0, 0, 5, 0, 1, 6
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\enums\ExternalSystem.java", "Java", 0, 0, 4, 0, 1, 5
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\enums\VendorCategory.java", "Java", 0, 0, 8, 0, 1, 9
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\mapper\BusinessPartnerMapper.java", "Java", 0, 0, 174, 0, 56, 230
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\BusinessPartnerAddressRepository.java", "Java", 0, 0, 17, 0, 8, 25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\BusinessPartnerContactRepository.java", "Java", 0, 0, 17, 0, 8, 25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\BusinessPartnerExternalRefRepository.java", "Java", 0, 0, 22, 0, 6, 28
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\BusinessPartnerRepository.java", "Java", 0, 0, 11, 0, 6, 17
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\CustomerProfileRepository.java", "Java", 0, 0, 9, 0, 5, 14
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\repository\VendorProfileRepository.java", "Java", 0, 0, 9, 0, 5, 14
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\businesspartner\service\BusinessPartnerService.java", "Java", 0, 0, 539, 1, 125, 665
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\common\util\CurrentUserUtil.java", "Java", 0, 0, 36, 0, 12, 48
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\controller\CompanyProfileController.java", "Java", 0, 0, 51, 0, 10, 61
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\dto\CompanyProfileResponse.java", "Java", 0, 0, 44, 0, 10, 54
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\dto\UpdateCompanyProfileRequest.java", "Java", 0, 0, 4, 0, 2, 6
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\entity\CompanyProfile.java", "Java", 0, 0, 113, 0, 43, 156
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\repository\CompanyProfileRepository.java", "Java", 0, 0, 8, 0, 4, 12
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\company\service\CompanyProfileService.java", "Java", 0, 0, 367, 0, 104, 471
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\config\CorsConfig.java", "Java", 0, 0, -3, 0, 0, -3
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\config\JwtAuthenticationFilter.java", "Java", 0, 0, 1, 0, 0, 1
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\config\SecurityConfig.java", "Java", 0, 0, 2, 0, 0, 2
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\controller\BidController.java", "Java", 0, 0, 33, 0, 9, 42
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\controller\DictionaryController.java", "Java", 0, 0, 113, 0, 24, 137
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\BidOwnerResponse.java", "Java", 0, 0, 12, 0, 4, 16
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\BidResponse.java", "Java", 0, 0, 14, 0, -1, 13
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\BidRevisionItemCostResponse.java", "Java", 0, 0, 2, 0, -1, 1
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\BidRevisionItemResponse.java", "Java", 0, 0, 10, 0, 10, 20
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\BidRevisionResponse.java", "Java", 0, 0, 3, 0, 0, 3
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\CreateBidFromRevisionRequest.java", "Java", 0, 0, 20, 0, 9, 29
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\CreateBidRequest.java", "Java", 0, 0, 18, 0, 10, 28
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\CreateBidRevisionItemCostRequest.java", "Java", 0, 0, 2, 0, 1, 3
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\CreateBidRevisionItemRequest.java", "Java", 0, 0, 2, 0, 2, 4
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\CreateBidRevisionRequest.java", "Java", 0, 0, -6, 0, -1, -7
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\DeleteRevisionGroupItemTypeRequest.java", "Java", 0, 0, 14, 0, 4, 18
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\DeleteRevisionGroupRequest.java", "Java", 0, 0, 11, 0, 3, 14
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\UpdateBidRequest.java", "Java", 0, 0, 29, 0, 12, 41
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\UpdateBidRevisionItemCostRequest.java", "Java", 0, 0, 3, 0, 1, 4
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\UpdateBidRevisionItemRequest.java", "Java", 0, 0, 4, 0, 2, 6
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CostElementResponse.java", "Java", 0, 0, 13, 0, 4, 17
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CostRateResponse.java", "Java", 0, 0, 18, 0, 5, 23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CreateCostElementRequest.java", "Java", 0, 0, 17, 0, 6, 23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CreateCostRateRequest.java", "Java", 0, 0, 29, 0, 10, 39
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CreateItemTypeRequest.java", "Java", 0, 0, 17, 0, 6, 23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\CreateTaxRateRequest.java", "Java", 0, 0, 23, 0, 8, 31
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\ItemTypeResponse.java", "Java", 0, 0, 13, 0, 4, 17
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\TaxRateResponse.java", "Java", 0, 0, 15, 0, 4, 19
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\UnitOfMeasureResponse.java", "Java", 0, 0, 9, 0, 4, 13
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\UpdateCostElementRequest.java", "Java", 0, 0, 14, 0, 6, 20
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\UpdateCostRateRequest.java", "Java", 0, 0, 22, 0, 10, 32
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\UpdateItemTypeRequest.java", "Java", 0, 0, 14, 0, 6, 20
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\dictionary\UpdateTaxRateRequest.java", "Java", 0, 0, 18, 0, 8, 26
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\EstimatePdfDesignerBlockResponse.java", "Java", 0, 0, 14, 0, 2, 16
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\EstimatePdfDesignerRegistryResponse.java", "Java", 0, 0, 7, 0, 2, 9
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\EstimatePdfDesignerVariableResponse.java", "Java", 0, 0, 10, 0, 1, 11
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\EstimatePdfTemplateResponse.java", "Java", 0, 0, 20, 0, 9, 29
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\PreviewEstimatePdfTemplateRequest.java", "Java", 0, 0, 16, 0, 7, 23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\dto\pdf\UpdateEstimatePdfTemplateRequest.java", "Java", 0, 0, 18, 0, 8, 26
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\Bid.java", "Java", 0, 0, 20, 0, 9, 29
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\BidRevision.java", "Java", 0, 0, 10, 0, 4, 14
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\BidRevisionItem.java", "Java", 0, 0, 18, 0, 8, 26
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\BidRevisionItemCost.java", "Java", 0, 0, 2, 0, 1, 3
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\CostRate.java", "Java", 0, 0, 10, 0, 2, 12
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\EstimatePdfTemplate.java", "Java", 0, 0, 49, 0, 19, 68
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\EstimatePdfTemplateVersion.java", "Java", 0, 0, 41, 0, 14, 55
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\ItemType.java", "Java", 0, 0, 33, 0, 13, 46
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\entity\TaxRate.java", "Java", 0, 0, 36, 0, 14, 50
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\enums\ConstructionType.java", "Java", 0, 0, 6, 0, 2, 8
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\enums\CustomerDisplayMode.java", "Java", 0, 0, 10, 0, 1, 11
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\enums\EstimatePriceDisplayMode.java", "Java", 0, 0, 8, 0, 1, 9
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\enums\EstimateTaxModel.java", "Java", 0, 0, 5, 0, 2, 7
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\enums\UnitOfMeasure.java", "Java", 0, 0, 10, 0, 1, 11
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\mapper\BidMapper.java", "Java", 0, 0, 66, 0, 11, 77
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfHtmlPreviewController.java", "Java", 0, 0, 20, 0, 6, 26
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfModelBuilder.java", "Java", 0, 0, 392, 0, 97, 489
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfModelController.java", "Java", 0, 0, 19, 0, 6, 25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfProtectedBlockRenderService.java", "Java", 0, 0, 90, 0, 15, 105
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateAccessService.java", "Java", 0, 0, 16, 0, 5, 21
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateController.java", "Java", 0, 0, 50, 0, 9, 59
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateDesignerRegistryService.java", "Java", 0, 0, 237, 0, 32, 269
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateRenderService.java", "Java", 0, 0, 175, 0, 47, 222
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateSeeder.java", "Java", 0, 0, 51, 0, 12, 63
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateService.java", "Java", 0, 0, 100, 0, 26, 126
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateValidationService.java", "Java", 0, 0, 133, 0, 39, 172
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfAddressBlock.java", "Java", 0, 0, 13, 0, 3, 16
